District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Tai Po,Tai Po Market,(Tai Po Markert) Nam Shing Street / On Fu Road / Fu Shin Street / Po Heung Street / Shung Tak Street / Kwong Fuk Road / Wai Yan Street / Wai Yi Street / Hei Yuen Street / Sui On Street / Tsing Yuen Street Pre-War-1960's private residential buildings     ,2316,666,14.6%,27.8%,43.4%,14.2%,45.6,39.7,43.0,32.6%,26.7%,89.6%,9.9%,0.5%,28.2%,70.5%,1.3%,26.9%,66.8%,6.3%,94.7%,3.8%,39.0%,6.7%,44.7%,5.7%,1126,93.7%,2.2%,4.1%,1190,34.7%,65.3%,3.3%,20.5%,39.1%,11.1%,26.0%,49.6%,21.9%,8.6%,19.9%,HK$12600,HK$9680,HK$7000,HK$12600,HK$9680,HK$7000,54hours,48hours,43hours,54hours,48hours,43hours,65.7%,15.9%,19.8%,30.2%,21.2%,12.9%,(N.A.)–Not available,89.0%,7.8%,3.3%,2.2,51.8%,12.7%,35.5%,HK$16900,HK$13500,HK$8100,HK$16900,HK$13500,HK$8100,49.5,100.0%,0.0%,60.0%,18.6%,15.8%,5.6%,0.0%,2.46rooms,1.11rooms,39m²,10m²,9m²,2.1%,18.0%,73.6%,6.3%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$4400,32.3%,56.2%,15.7%,4.8%,23.3%
Tai Po,Tai Po Market,(Tai Po Market) Low-density residential buildings / Village Houses                                                                                                                                                                                            ,1724,838,15.3%,32.8%,39.2%,12.8%,43.6,38.8,40.7,31.8%,25.1%,96.6%,1.5%,1.9%,74.1%,17.2%,8.6%,14.3%,51.3%,34.4%,66.7%,24.8%,17.3%,29.6%,17.3%,10.9%,835,88.3%,3.6%,8.1%,889,35.9%,64.1%,13.9%,29.7%,29.9%,7.2%,19.3%,22.2%,36.3%,25.7%,15.8%,HK$30000,HK$16000,HK$10000,HK$30000,HK$18400,HK$12000,50hours,45hours,40hours,49hours,45hours,40hours,27.0%,50.0%,21.6%,4.9%,4.4%,19.1%,(N.A.)–Not available,65.5%,16.7%,17.8%,3.0,62.5%,20.8%,16.7%,HK$56000,HK$28000,HK$13000,HK$56000,HK$28000,HK$13000,51.5,97.7%,2.3%,19.7%,28.1%,38.4%,13.9%,0.0%,3.45rooms,1.14rooms,65m²,46m²,28m²,8.3%,53.3%,28.6%,9.8%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$7000,24.9%,78.4%,14.4%,5.6%,1.6%
Tai Po,Tai Po Mid-levels,(Tai Po Mid-levels) Grand Palisades (Shan Yin Road 1990's private residential buildings)                                                                                                                                                                      ,1494,760,19.1%,36.1%,38.9%,6.0%,38.7,36.6,37.2,18.4%,28.0%,83.5%,3.4%,13.0%,74.4%,11.5%,14.1%,5.4%,32.0%,62.6%,41.0%,35.8%,0.0%,10.0%,21.4%,32.8%,849,86.8%,10.0%,3.2%,645,42.2%,57.8%,12.8%,48.5%,19.4%,2.2%,17.0%,26.0%,28.6%,37.0%,8.4%,HK$45000,HK$29000,HK$15000,HK$50000,HK$30000,HK$20000,50hours,44hours,40hours,48hours,42hours,40hours,36.3%,53.3%,8.5%,1.5%,4.6%,32.1%,(N.A.)–Not available,58.7%,17.8%,23.5%,3.3,70.1%,12.1%,17.8%,HK$93000,HK$63680,HK$40000,HK$90000,HK$63680,HK$40000,43.9,94.8%,5.2%,4.0%,35.8%,24.0%,36.3%,0.0%,4.14rooms,1.27rooms,85m²,52m²,51m²,57.4%,18.9%,18.0%,5.7%,HK$13000,16.8%,19years,HK$13500,30.1%,61.2%,11.2%,22.2%,5.4%
Tai Po,Tai Po Mid-levels,(Tai Po Mid-levels) Providence Bay / Providence Peak / Mayfair By The Sea 1-2 (Fo Chun Road 2000's private residential buildings)                                                                                                                             ,6346,760,19.0%,34.2%,37.5%,9.3%,37.2,39.0,38.7,24.4%,22.0%,73.6%,9.8%,16.6%,62.8%,18.8%,18.4%,8.2%,39.3%,52.6%,35.9%,16.2%,9.0%,6.4%,16.4%,52.0%,3193,80.4%,12.0%,7.6%,3153,44.2%,55.8%,25.6%,30.0%,16.0%,0.9%,27.5%,28.3%,21.6%,40.3%,9.8%,HK$54410,HK$20000,HK$4500,HK$64000,HK$35000,HK$20000,60hours,45hours,40hours,48hours,40hours,35hours,34.4%,33.1%,12.9%,0.4%,5.9%,47.6%,(N.A.)–Not available,46.0%,23.1%,31.0%,3.6,71.4%,16.8%,11.8%,HK$104210,HK$61320,HK$31000,HK$100000,HK$60000,HK$34000,46.5,94.6%,5.4%,1.0%,12.2%,19.0%,67.8%,0.0%,5.07rooms,1.40rooms,133m²,101m²,84m²,50.8%,21.2%,23.9%,4.2%,HK$20000,25.3%,19years,HK$17000,26.1%,0.0%,39.3%,50.2%,10.5%
Tai Po,Tai Po Mid-levels,(Tai Po Mid-levels) Tai Po Road - Tai Po Kau 1980-2000's Low-density residential buildings / Village Houses                                                                                                                                                   ,6410,788,10.9%,33.0%,42.0%,14.0%,44.9,41.1,42.4,29.1%,28.6%,85.1%,2.6%,12.3%,62.4%,17.2%,20.5%,8.9%,40.8%,50.3%,35.8%,19.8%,9.4%,3.0%,21.2%,46.7%,3388,77.7%,13.2%,9.1%,3022,39.5%,60.5%,25.6%,26.4%,14.8%,1.4%,31.8%,23.6%,18.4%,46.7%,11.4%,HK$50000,HK$18000,HK$4310,HK$70000,HK$39000,HK$16000,50hours,45hours,40hours,45hours,43hours,35hours,42.8%,36.4%,10.5%,1.4%,2.7%,49.1%,(N.A.)–Not available,46.4%,25.1%,28.5%,3.6,71.5%,16.2%,12.2%,HK$130200,HK$64750,HK$29200,HK$130000,HK$64870,HK$30000,54.6,95.6%,4.4%,1.5%,4.7%,21.8%,72.1%,0.0%,5.14rooms,1.43rooms,132m²,103m²,87m²,31.6%,38.2%,20.9%,9.3%,HK$21650,23.8%,14years,HK$23500,21.9%,74.6%,13.3%,8.7%,3.5%
Tai Po,Tai Po Mid-levels,(Tai Po Mid-levels) village houses / houses / villas                                                                                                                                                                                                          ,7187,835,14.9%,31.6%,42.2%,11.2%,43.2,40.5,41.2,27.1%,26.7%,84.5%,4.5%,10.9%,69.8%,16.3%,13.9%,8.7%,47.1%,44.3%,44.8%,25.2%,6.5%,6.4%,21.5%,40.3%,3539,81.8%,8.7%,9.5%,3648,42.2%,57.8%,17.4%,33.9%,22.3%,4.0%,22.3%,23.3%,24.5%,39.2%,13.0%,HK$36000,HK$20000,HK$7600,HK$40000,HK$23750,HK$15000,50hours,44hours,40hours,48hours,43hours,40hours,31.4%,40.5%,15.7%,1.6%,8.1%,34.2%,(N.A.)–Not available,54.3%,24.6%,21.0%,3.4,71.1%,15.7%,13.1%,HK$73270,HK$45000,HK$24160,HK$72490,HK$45000,HK$21900,49.5,94.9%,5.1%,5.4%,12.5%,46.3%,35.8%,0.0%,4.36rooms,1.28rooms,65m²,65m²,60m²,31.5%,32.8%,29.3%,6.3%,HK$12590,21.5%,18years,HK$10820,25.7%,54.9%,17.2%,23.1%,4.8%
Tai Po,Tai Po Mid-levels,(Tai Po Mid-levels) village houses                                                                                                                                                                                                                            ,2332,828,14.5%,34.1%,38.0%,13.4%,47.5,36.8,43.1,31.9%,27.4%,99.3%,0.7%,0.0%,67.7%,27.9%,4.4%,29.0%,49.7%,21.3%,77.6%,21.3%,22.0%,4.7%,17.1%,35.0%,1083,90.7%,2.2%,7.1%,1249,36.9%,63.1%,5.4%,20.7%,23.8%,22.9%,27.1%,22.3%,23.9%,22.4%,31.3%,HK$18000,HK$12250,HK$10000,HK$18000,HK$13000,HK$10000,55hours,49hours,41hours,54hours,48hours,41hours,42.8%,29.9%,33.3%,3.5%,14.2%,19.2%,(N.A.)–Not available,49.0%,24.7%,26.3%,3.7,54.1%,35.4%,10.5%,HK$34000,HK$21780,HK$12000,HK$34000,HK$21250,HK$12000,52.9,100.0%,0.0%,14.5%,32.0%,19.9%,33.6%,0.0%,4.25rooms,1.15rooms,65m²,37m²,37m²,0.8%,79.0%,10.8%,9.4%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,91.5%,4.4%,3.9%,0.2%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Plover Cove Garden (Plover Cove Road 1990's private residential buildings)                                                                                                                                                               ,2206,869,10.7%,31.8%,43.7%,13.7%,43.6,43.9,43.8,28.8%,25.9%,93.6%,1.6%,4.8%,69.3%,22.1%,8.7%,16.3%,45.3%,38.4%,49.5%,36.3%,45.5%,13.7%,4.5%,0.0%,1003,94.2%,3.1%,2.7%,1203,37.4%,62.6%,8.4%,35.3%,29.2%,9.7%,17.4%,15.5%,29.5%,42.3%,12.8%,HK$30000,HK$18500,HK$10000,HK$33000,HK$20000,HK$13360,52hours,44hours,40hours,50hours,44hours,40hours,26.3%,37.3%,30.6%,10.4%,11.6%,10.0%,(N.A.)–Not available,63.8%,30.4%,5.8%,2.9,71.1%,9.4%,19.5%,HK$58100,HK$30000,HK$13200,HK$58100,HK$30000,HK$13200,52.5,97.9%,2.1%,3.6%,64.5%,26.6%,5.2%,0.0%,3.34rooms,1.15rooms,52m²,52m²,32m²,23.8%,50.6%,24.4%,1.2%,HK$9450,18.4%,13years,HK$10000,29.2%,75.5%,9.5%,11.6%,3.3%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Fortune Plaza (On Chee Road 1980's private residential buildings)                                                                                                                                                                        ,1904,900,13.7%,31.0%,43.7%,11.6%,43.2,43.0,43.2,22.3%,24.3%,94.0%,3.5%,2.5%,80.3%,14.8%,4.9%,11.1%,47.5%,41.4%,75.4%,9.9%,57.3%,18.5%,9.1%,5.2%,987,94.6%,0.0%,5.4%,917,26.1%,73.9%,8.7%,36.4%,32.5%,7.8%,14.6%,26.7%,34.1%,26.1%,13.0%,HK$27590,HK$19000,HK$12000,HK$28000,HK$19500,HK$12750,50hours,44hours,40hours,50hours,44hours,40hours,20.2%,38.5%,44.2%,9.3%,1.4%,6.6%,(N.A.)–Not available,81.5%,11.7%,6.8%,2.6,72.8%,8.8%,18.3%,HK$48000,HK$26250,HK$16000,HK$48000,HK$26250,HK$16000,51.5,98.9%,1.1%,14.9%,70.6%,13.0%,1.5%,0.0%,3.01rooms,1.16rooms,32m²,32m²,32m²,33.9%,40.6%,23.9%,1.7%,HK$6600,12.5%,10years,HK$9700,46.9%,70.8%,13.5%,15.7%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Eightland Gardens (On Chee Road 1980's private residential buildings)                                                                                                                                                                    ,1335,799,18.9%,27.5%,31.3%,22.3%,45.5,40.2,41.2,7.3%,22.6%,91.4%,5.8%,2.7%,65.4%,28.3%,6.3%,23.2%,54.1%,22.7%,90.7%,5.3%,65.4%,11.4%,8.5%,9.3%,638,89.2%,5.5%,5.3%,697,36.3%,63.7%,10.7%,39.2%,35.0%,3.6%,11.6%,34.5%,31.0%,25.9%,8.6%,HK$31250,HK$15500,HK$10000,HK$34200,HK$17000,HK$11250,54hours,45hours,40hours,50hours,45hours,40hours,41.0%,17.2%,46.9%,24.0%,0.0%,11.9%,(N.A.)–Not available,68.6%,19.0%,12.4%,2.8,67.1%,19.4%,13.4%,HK$47800,HK$28210,HK$10500,HK$47800,HK$24490,HK$10500,51.2,98.3%,1.7%,14.7%,61.8%,21.1%,2.5%,0.0%,3.11rooms,1.13rooms,42m²,41m²,40m²,38.2%,51.9%,7.6%,2.3%,HK$6500,16.7%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,78.5%,14.3%,2.8%,4.3%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Jade Plaza (On Chee Road 1980's private residential buildings)                                                                                                                                                                           ,1462,814,15.3%,41.7%,31.8%,11.2%,39.7,34.9,36.7,22.1%,17.8%,96.6%,0.9%,2.5%,72.8%,25.7%,1.4%,17.5%,47.1%,35.4%,80.2%,6.6%,70.1%,11.2%,5.6%,6.6%,794,97.4%,0.0%,2.6%,668,31.3%,68.7%,8.3%,30.5%,29.6%,13.7%,17.9%,23.3%,35.8%,24.6%,16.4%,HK$21250,HK$17000,HK$11250,HK$23000,HK$17000,HK$12000,54hours,45hours,40hours,54hours,45hours,40hours,28.3%,32.4%,43.0%,14.3%,1.7%,8.6%,(N.A.)–Not available,83.8%,12.8%,3.4%,2.3,53.4%,12.8%,33.9%,HK$31250,HK$21250,HK$14000,HK$31250,HK$21250,HK$14000,43.3,100.0%,0.0%,60.5%,36.3%,3.1%,0.0%,0.0%,2.43rooms,1.07rooms,26m²,25m²,24m²,14.5%,27.6%,54.6%,3.3%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$8500,35.8%,47.3%,23.3%,25.3%,4.1%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Treasure Garden (On Chee Road 1980's private residential buildings)                                                                                                                                                                      ,1308,835,7.6%,38.5%,37.1%,16.9%,40.3,45.7,45.4,31.3%,36.0%,90.1%,6.1%,3.9%,75.9%,17.8%,6.3%,23.3%,36.6%,40.1%,46.7%,40.1%,27.5%,19.8%,6.0%,6.6%,752,86.3%,2.9%,10.8%,556,33.1%,66.9%,7.2%,36.6%,35.9%,7.7%,12.6%,29.1%,31.0%,30.7%,9.2%,HK$26500,HK$19500,HK$12250,HK$28750,HK$20000,HK$14000,55hours,45hours,42hours,54hours,45hours,42hours,42.3%,30.2%,25.7%,22.3%,6.3%,15.5%,(N.A.)–Not available,72.0%,17.9%,10.1%,2.8,62.1%,15.9%,22.0%,HK$64390,HK$38750,HK$13840,HK$64390,HK$35000,HK$10600,54.4,100.0%,0.0%,6.5%,36.9%,32.1%,24.6%,0.0%,3.75rooms,1.34rooms,48m²,47m²,37m²,31.7%,57.1%,9.1%,2.2%,HK$9890,20.3%,13years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,70.8%,11.6%,14.5%,3.2%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Mont Vert Tower 1-5 (Fung Yuen Road 2000's)                                                                                                                                                                                              ,1850,848,16.8%,38.2%,37.6%,7.5%,38.3,35.2,36.8,30.4%,30.3%,88.9%,4.1%,6.9%,70.3%,20.1%,9.6%,6.9%,42.1%,50.9%,62.0%,22.7%,5.9%,8.1%,14.9%,48.4%,988,83.3%,10.1%,6.6%,862,52.7%,47.3%,15.4%,41.9%,16.9%,5.9%,19.9%,19.2%,29.8%,33.7%,17.3%,HK$40000,HK$21000,HK$13000,HK$41000,HK$27500,HK$17500,50hours,44hours,37hours,49hours,43hours,35hours,34.0%,44.0%,19.2%,1.7%,5.0%,30.1%,(N.A.)–Not available,48.2%,26.4%,25.3%,3.4,73.2%,14.0%,12.8%,HK$79250,HK$54990,HK$37500,HK$75000,HK$50990,HK$37500,46.8,98.1%,1.9%,2.8%,10.0%,15.2%,72.1%,0.0%,5.02rooms,1.47rooms,84m²,78m²,68m²,56.0%,11.3%,26.6%,6.1%,HK$15300,23.6%,23years,HK$17000,49.1%,0.0%,62.0%,29.0%,8.9%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Mont Vert Tower 6-9 (Fung Yuen Road 2000's)                                                                                                                                                                                              ,2310,699,21.3%,34.0%,37.3%,7.4%,35.7,38.5,37.6,23.4%,23.6%,85.2%,3.5%,11.3%,67.0%,20.1%,12.9%,6.6%,42.4%,51.0%,64.7%,13.0%,5.1%,6.5%,16.3%,59.1%,1253,81.4%,11.3%,7.3%,1057,54.6%,45.4%,22.3%,34.2%,20.3%,3.8%,19.4%,20.2%,22.4%,48.3%,9.1%,HK$45000,HK$27000,HK$9000,HK$48300,HK$30000,HK$15500,55hours,45hours,40hours,50hours,44hours,40hours,42.7%,30.8%,11.3%,0.0%,16.6%,41.3%,(N.A.)–Not available,52.7%,22.3%,25.0%,3.2,67.3%,11.1%,21.6%,HK$95000,HK$53140,HK$26000,HK$95000,HK$53140,HK$26000,47.1,96.3%,3.7%,9.1%,9.7%,15.2%,66.1%,0.0%,5.03rooms,1.55rooms,87m²,86m²,69m²,69.0%,8.2%,15.2%,7.5%,HK$18000,26.8%,24years,HK$8000,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,0.0%,53.2%,32.3%,14.5%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Centre Phase 1-2 Block 1-5 (On Pong Road 1980's private residential buildings)                                                                                                                                                    ,2872,741,17.2%,30.6%,42.3%,9.9%,42.2,40.2,41.1,27.3%,28.4%,91.6%,5.9%,2.5%,74.5%,22.3%,3.2%,10.6%,52.9%,36.5%,67.8%,9.8%,55.3%,17.6%,11.5%,5.8%,1463,88.2%,3.6%,8.3%,1409,44.6%,55.4%,7.7%,37.5%,35.4%,9.4%,10.0%,28.4%,32.9%,26.2%,12.5%,HK$28750,HK$18000,HK$11000,HK$28750,HK$18000,HK$11800,49hours,44hours,39hours,49hours,43hours,39hours,27.1%,27.6%,33.2%,17.3%,5.5%,16.5%,(N.A.)–Not available,67.7%,22.8%,9.5%,2.8,69.2%,10.4%,20.4%,HK$46310,HK$30000,HK$15000,HK$46310,HK$30000,HK$15000,49.0,96.2%,3.8%,5.9%,83.7%,8.0%,2.3%,0.0%,3.10rooms,1.11rooms,38m²,38m²,28m²,31.0%,46.4%,14.6%,8.0%,HK$7500,18.8%,20years,HK$11000,34.0%,78.1%,13.4%,8.5%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Centre Phase 3 Block 20-23 (Po Wu Lane 1980's private residential buildings)                                                                                                                                                      ,1415,1013,15.1%,33.0%,41.9%,10.0%,42.1,41.0,41.7,28.6%,24.9%,88.1%,7.1%,4.8%,61.9%,32.9%,5.2%,12.6%,49.1%,38.4%,89.2%,0.0%,62.9%,23.6%,4.6%,8.9%,749,88.0%,5.2%,6.8%,666,36.8%,63.2%,9.5%,43.0%,33.0%,5.7%,8.8%,28.7%,29.0%,24.0%,18.3%,HK$26250,HK$16000,HK$10250,HK$26250,HK$16000,HK$10250,50hours,45hours,39hours,50hours,45hours,39hours,28.8%,23.2%,46.9%,18.2%,5.8%,5.9%,(N.A.)–Not available,85.9%,12.0%,2.2%,2.4,69.1%,3.2%,27.7%,HK$43710,HK$23350,HK$12830,HK$43710,HK$23350,HK$12310,47.4,94.6%,5.4%,3.7%,88.2%,6.3%,1.8%,0.0%,3.06rooms,1.30rooms,30m²,30m²,30m²,32.1%,39.9%,24.3%,3.8%,HK$7320,27.0%,15years,HK$9000,32.0%,77.0%,8.1%,8.4%,6.5%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Centre Phase 4 Block 6-10 (On Pong Road 1980's private residential buildings)                                                                                                                                                     ,2122,717,15.6%,34.1%,41.0%,9.2%,41.6,39.3,40.3,28.3%,27.7%,95.6%,1.9%,2.5%,80.1%,11.6%,8.3%,10.4%,44.1%,45.5%,87.3%,9.8%,68.5%,15.5%,3.4%,2.8%,1207,87.7%,4.1%,8.2%,915,42.3%,57.7%,16.2%,38.7%,29.3%,3.1%,12.7%,26.8%,30.8%,33.9%,8.5%,HK$30000,HK$18500,HK$12000,HK$31500,HK$20500,HK$15000,48hours,43hours,40hours,45hours,42hours,40hours,27.0%,23.6%,46.6%,10.3%,6.3%,13.3%,(N.A.)–Not available,69.7%,24.0%,6.3%,2.8,65.1%,14.7%,20.2%,HK$55290,HK$32250,HK$18500,HK$55290,HK$32250,HK$16290,52.1,100.0%,0.0%,1.3%,65.7%,31.4%,1.6%,0.0%,3.32rooms,1.19rooms,42m²,42m²,42m²,34.1%,41.2%,20.2%,4.5%,HK$10000,18.5%,19years,HK$12000,25.3%,80.6%,13.0%,0.0%,6.4%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Centre Phase 5 Block 16-19 (On Pong Road 1980's private residential buildings)                                                                                                                                                    ,1993,868,7.7%,36.8%,45.5%,10.0%,44.9,45.3,45.2,30.1%,34.8%,96.6%,2.8%,0.6%,69.4%,24.2%,6.4%,4.1%,50.7%,45.2%,74.3%,13.0%,53.2%,25.0%,4.2%,4.6%,1092,87.8%,7.5%,4.7%,901,18.2%,81.8%,17.2%,45.3%,21.2%,3.6%,12.7%,32.1%,20.1%,31.3%,16.5%,HK$32000,HK$23880,HK$14750,HK$34000,HK$25500,HK$15000,50hours,45hours,40hours,50hours,45hours,40hours,25.1%,34.9%,42.6%,14.2%,3.0%,5.4%,(N.A.)–Not available,52.5%,43.8%,3.8%,3.3,80.0%,13.3%,6.7%,HK$66250,HK$44000,HK$32400,HK$66250,HK$44000,HK$31990,52.9,100.0%,0.0%,0.0%,44.8%,44.1%,11.1%,0.0%,3.66rooms,1.11rooms,49m²,42m²,42m²,33.5%,45.8%,16.8%,3.9%,HK$8000,18.9%,16years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,87.1%,9.8%,3.2%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Centre Phase 6 Block 11-15 (On Pong Road 1980's private residential buildings)                                                                                                                                                    ,2315,876,11.1%,34.3%,47.9%,6.7%,42.2,43.6,42.8,38.6%,32.9%,95.0%,2.6%,2.4%,82.3%,15.0%,2.7%,9.3%,45.4%,45.3%,41.2%,37.3%,31.5%,8.8%,17.2%,5.2%,1246,87.9%,3.9%,8.2%,1069,44.6%,55.4%,9.9%,34.1%,37.7%,8.1%,10.2%,20.1%,29.9%,39.2%,10.7%,HK$34180,HK$17000,HK$11600,HK$36250,HK$18000,HK$12000,49hours,44hours,40hours,48hours,43hours,40hours,34.7%,36.6%,24.4%,17.5%,2.7%,18.8%,(N.A.)–Not available,57.1%,23.9%,18.9%,3.4,68.6%,24.7%,6.8%,HK$64800,HK$42800,HK$17440,HK$62250,HK$42800,HK$17440,55.0,100.0%,0.0%,3.5%,24.4%,41.7%,30.5%,0.0%,4.03rooms,1.17rooms,49m²,43m²,43m²,31.3%,57.3%,6.8%,4.7%,HK$7500,13.7%,14years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,86.3%,13.7%,0.0%,0.0%
Tai Po,Tai Po Town Centre,(Tai Po Town Centre) Tai Po Plaza Block 1-3 (On Tai Road 1980's private residential buildings)                                                                                                                                                                ,1965,690,6.8%,34.0%,45.6%,13.6%,47.4,45.8,46.1,26.4%,25.4%,99.4%,0.6%,0.0%,73.1%,21.4%,5.5%,17.9%,54.3%,27.8%,37.0%,40.1%,16.7%,27.8%,15.4%,0.0%,1059,86.5%,6.5%,7.0%,906,25.6%,74.4%,5.6%,31.7%,35.9%,16.0%,10.9%,19.7%,40.6%,30.6%,9.1%,HK$27000,HK$18000,HK$11250,HK$27000,HK$18000,HK$11500,50hours,44hours,40hours,50hours,44hours,40hours,28.3%,22.1%,47.0%,20.5%,0.0%,10.5%,(N.A.)–Not available,84.4%,11.6%,4.1%,2.3,60.6%,7.8%,31.6%,HK$37000,HK$25000,HK$15000,HK$37000,HK$25000,HK$12760,56.8,100.0%,0.0%,2.8%,87.7%,9.5%,0.0%,0.0%,3.07rooms,1.36rooms,39m²,36m²,35m²,30.0%,55.3%,5.7%,9.0%,HK$4500,17.0%,11years,HK$1200,6.0%,88.4%,4.7%,4.9%,2.0%
